original,translated,reference,context_languages,strategy,bleu
"%s: unable to resolve bind address %s; disabling bind.
",%s: não é possível resolver o endereço bind %s; desligando bind.,"%s: não foi possível resolver endereço de associação %s; desabilitando a associação.
","RU,ID",LLAMA,24.375427155462503
Connecting to %s|%s|:%d... ,Conectar ao %s|%s|:%d... ,Conectando-se a %s|%s|:%d... ,"RU,ID",LLAMA,83.85766789076261
Connecting to %s:%d... ,Conectando ao %s:%d... ,Conectando-se a %s:%d... ,"RU,ID",LLAMA,75.98356856515926
Connecting to [%s]:%d... ,Conectando ao [%s]:%d... ,Conectando-se a [%s]:%d... ,"RU,ID",LLAMA,80.70557274927978
"setsockopt SO_RCVBUF failed: %s
",falha ao definir o parâmetro SO_RCVBUF do soquete: %s,"setsockopt SO_RCVBUF falhou: %s
","RU,ID",LLAMA,19.338531381761715
"connected.
",conexão estabelecida.,"conectado.
","RU,ID",LLAMA,27.516060407455225
"failed: %s.
",falha: %s.,"falha: %s.
","RU,ID",LLAMA,100.00000000000004
"%s: unable to resolve host address %s
",%s: não é possível resolver o endereço %s,"%s: não foi possível resolver endereço de máquina %s
","RU,ID",LLAMA,29.81247384881109
"setsockopt SO_REUSEADDR failed: %s
",falha ao definir o socket SO_REUSEADDR: %s,"setsockopt SO_REUSEADDR falhou: %s
","RU,ID",LLAMA,23.462350320527996
"Too many fds open.  Cannot use select on a fd >= %d
",Excesso de fds abertos. Não é possível utilizar select para fd >= %d,"Muitos descritores de arquivos em aberto. Não é selecionável um fd >= %d
","RU,ID",LLAMA,31.53554052490134
"Converted links in %d files in %s seconds.
",Links convertidos em arquivos (%d) após %s segundos.,"Links convertidos em %d arquivos em %s segundos.
","RU,ID",LLAMA,32.00286101270288
Converting links in %s... ,Conversão de links em %s... ,Convertendo links em %s... ,"RU,ID",LLAMA,72.59795291154772
"nothing to do.
",não há nada para fazer.,"nada a ser feito.
","RU,ID",LLAMA,9.652434877402245
"%d.
",%d.,"%d.
","RU,ID",LLAMA,100.00000000000004
"Cannot convert links in %s: %s
","Не удаётся преобразовать ссылки в %s: %s
","Não foi possível converter links em %s: %s
","RU,ID",LLAMA,35.5433394487517
"Unable to delete %s: %s
","Не foi possível excluir %s: %s
","Não foi possível excluir %s: %s
","RU,ID",LLAMA,86.33400213704509
"Cannot back up %s as %s: %s
",Не foi possível salvar %s com o nome %s: %s,"Não foi possível fazer uma cópia de segurança de %s como %s: %s
","RU,ID",LLAMA,27.50501077941093
"Unable to get cookie for %s
",Не foi possível obter cookie para %s,"Incapaz de obter o cookie para %s
","RU,ID",LLAMA,36.55552228545123
"Syntax error in Set-Cookie: %s at position %d.
",Erro de sintaxe no Set-Cookie: %s na posição %d.,"Erro de sintaxe em Set-Cookie: %s na posição %d.
","RU,ID",LLAMA,76.11606003349888
Cookie coming from %s attempted to set domain to ,"Cookie recebidos do %s tentaram alterar o domínio para """,Cookie vindo de %s tentou designar domínio como,"RU,ID",LLAMA,8.913765521398126
"%s
","%s
","%s
","RU,ID",LLAMA,100.00000000000004
"Cannot open cookies file %s: %s
","não é possível abrir o arquivo cookies %s: %s
","Não foi possível abrir o arquivo de cookies %s: %s
","RU,ID",LLAMA,58.33510584342546
"Error writing to %s: %s
","Erro de escrita no arquivo ""%s"": %s","Erro ao gravar em %s: %s.
","RU,ID",LLAMA,16.59038701421971
"Error closing %s: %s
",Erro ao fechar %s: %s,"Erro ao fechar %s: %s
","RU,ID",LLAMA,100.00000000000004
"Unsupported listing type, trying Unix listing parser.
","Formato de lista não suportado, tentar analisador para listas Unix.","Não há suporte para o tipo de listagem. Tentando usar interpretador de listagem UNIX.
","RU,ID",LLAMA,3.1934960455974277
Index of /%s on %s:%d,Índice /%s no %s:%d,Índice de /%s em %s:%d,"RU,ID",LLAMA,48.959148327580515
time unknown       ,o tempo é desconhecido,horário desconhecido ,"RU,ID",LLAMA,15.97357760615681
File        ,Arquivo        ,Arquivo     ,"RU,ID",LLAMA,100.00000000000004
Directory   ,Catalogo     ,Diretório   ,"RU,ID",LLAMA,0.0
Link        ,Linka      ,Link        ,"RU,ID",LLAMA,0.0
Not sure    ,Desconhecido,Incerto     ,"RU,ID",LLAMA,0.0
 (%s bytes),(%s byte), (%s bytes),"RU,ID",LLAMA,42.72870063962342
Length: %s,Размер (байт): %s,Tamanho: %s,"RU,ID",LLAMA,24.446151121745054
", %s (%s) remaining",", %s (%s) restante.",", %s (%s) restantes","RU,ID",LLAMA,72.59795291154772
", %s remaining",", %s restante",", %s restantes","RU,ID",LLAMA,59.460355750136046
" (unauthoritative)
",Não confie nessa informação.," (sem autoridade)
","RU,ID",LLAMA,0.0
"Could not initialize SSL. It will be disabled.
",Não é possível inicializar o SSL. Será desligado.,"Não foi possível iniciar o SSL. Ele será desabilitado.
","RU,ID",LLAMA,16.807407519804237
Logging in as %s ... ,Виконається входом під пріcordі %s ... ,Acessando como %s ... ,"RU,ID",LLAMA,44.63236137853326
"Error in server response, closing control connection.
","Erro no retorno do servidor, o controle de conexão é encerrado.","Erro na resposta do servidor, fechando a conexão de controle.
","RU,ID",LLAMA,14.694106251955755
"Error in server greeting.
",Erro na apresentação do server. Salvei.,"Erro na saudação do servidor.
","RU,ID",LLAMA,13.134549472120788
"Write failed, closing control connection.
","Erro de escrita, conexão gerenciada encerrou.","Falha de escrita, fechando a conexão de controle.
","RU,ID",LLAMA,18.190371142855746
"The server refuses login.
",O servidor rejeitou o login.,"O servidor recusou o acesso.
","RU,ID",LLAMA,19.304869754804482
"Login incorrect.
",Login inválido.,"Identificação incorreta.
","RU,ID",LLAMA,27.516060407455225
"Logged in!
",Entrada bem-sucedida na sistema!,"Acesso autorizado!
","RU,ID",LLAMA,10.682175159905848
"Server did not accept the 'PBSZ 0' command.
",O servidor não aceitou a comando 'PBSZ 0'.,"O servidor não aceitou o comando ""PBSZ 0"".
","RU,ID",LLAMA,26.449672174138467
"Server did not accept the 'PROT %c' command.
",O servidor não aceitou a comando 'PROT %c'.,"O servidor não aceitou o comando ""PROT %c"".
","RU,ID",LLAMA,24.736929544091943
"Server error, can't determine system type.
","Erro no servidor, não é possível identificar o tipo do sistema.","Erro do servidor, não foi possível determinar tipo de sistema.
","RU,ID",LLAMA,16.74765944848823
done.    ,pronto.,feito.   ,"RU,ID",LLAMA,49.99999999999999
"done.
",pronto.,"feito.
","RU,ID",LLAMA,49.99999999999999
"Unknown type `%c', closing control connection.
","Tipo '%c' desconhecido, conexão gerenciada encerrada.","Tipo ""%c"" é desconhecido, fechando a conexão de controle.
","RU,ID",LLAMA,7.40354787297858
done.  ,pronto.,feito. ,"RU,ID",LLAMA,49.99999999999999
"==> CWD not needed.
",==> Diretório não é necessário.,"==> CWD não é necessário.
","RU,ID",LLAMA,50.000000000000014
Logically impossible section reached in getftp(),No logicamente alcançado o divisor inválido em getftp(),Seção logicamente impossível foi alcançada em getftp(),"RU,ID",LLAMA,27.77619034011791
"cwd_count: %d
cwd_start: %d
cwd_end: %d
","cwd_count: %d
cwd_start: %d
cwd_end: %d
","cwd_count: %d
cwd_start: %d
cwd_end: %d
","RU,ID",LLAMA,100.00000000000004
"No such directory %s.

",Não há tal diretório: %s.,"O diretório %s não foi encontrado.

","RU,ID",LLAMA,13.134549472120788
"==> CWD not required.
",==> Diretório não é necessário.,"==> CWD não exigido.
","RU,ID",LLAMA,23.356898886410015
"File has already been retrieved.
",Arquivo já foi carregado.,"O arquivo já foi obtido.
","RU,ID",LLAMA,19.3576934939088
"Cannot initiate PASV transfer.
",Não é possível iniciar a transferência PASV.,"Não é possível iniciar transferência PASV.
","RU,ID",LLAMA,50.000000000000014
"Cannot parse PASV response.
",Erro de análise do comando PASV.,"Não foi possível entender resposta do comando PASV.
","RU,ID",LLAMA,30.895757752065425
"couldn't connect to %s port %d: %s
",não foi possível se conectar ao %s porto %d: %s,"não foi possível se conectar a %s porta %d: %s
","RU,ID",LLAMA,57.3122448409426
"Bind error (%s).
",Erro bind (%s).,"Erro na associação (%s).
","RU,ID",LLAMA,55.780028607687655
"Invalid PORT.
",Porto inválido.,"PORT é inválido.
","RU,ID",LLAMA,39.43223765116288
"
REST failed, starting from scratch.
","Erro REST, inicialização do serviço.
","
REST falhou, recomeçando do zero.
","RU,ID",LLAMA,9.287528999566801
"File %s exists.
",Arquivo %s existe.,"O arquivo %s existe.
","RU,ID",LLAMA,54.75182535069452
"No such file %s.
",Não há tal arquivo: %s.,"O arquivo %s não foi encontrado.

","RU,ID",LLAMA,13.134549472120788
"No such file %s.

",Não há tal arquivo: %s.,"O arquivo %s não foi encontrado.

","RU,ID",LLAMA,13.134549472120788
"No such file or directory %s.

",Não há nenhum arquivo ou diretório chamado %s.,"O arquivo ou diretório %s não foi encontrado.

","RU,ID",LLAMA,20.556680845025987
"%s has sprung into existence.
",%s se tornou realidade.,"%s surgiu do nada.
","RU,ID",LLAMA,17.965205598154213
"%s: %s, closing control connection.
","%s: %s, conexão de controle é encerrada. (Conexão fechada)","%s: %s, fechando conexão de controle.
","RU,ID",LLAMA,39.375553105513404
%s (%s) - Data connection: %s; ,%s (%s) - Conectar: %s; ,%s (%s) - Conexão de dados: %s; ,"RU,ID",LLAMA,62.20700406786387
"Control connection closed.
",O vínculo de controle foi fechado.,"A conexão de controle está fechada.
","RU,ID",LLAMA,14.535768424205482
