original,translated,reference,context_languages,strategy,bleu
invalid argument %s for %s,argumento %s invÃ¡lido para %s,argumento inválido %s para %s,"RU,ID",LLAMA,32.17294420803808
ambiguous argument %s for %s,argumento %s ambíguo para %s,argumento ambíguo %s para %s,"RU,ID",LLAMA,33.437015248821105
Valid arguments are:,Os argumentos válidos são:,Argumentos válidos são:,"RU,ID",LLAMA,39.76353643835252
write error,erro de escritura,erro de escrita,"RU,ID",LLAMA,55.03212081491043
Unknown system error,Erro de sistema desconhecido,Erro desconhecido de sistema,"RU,ID",LLAMA,37.99178428257963
"%s: option '%s%s' is ambiguous
","%s: a opciÃ³n '%s%s' é ambígua
","%s: a opção ""%s%s"" é ambígua
","RU,ID",LLAMA,31.440065102016753
%s: option '%s%s' is ambiguous; possibilities:,%s: a opciÃ³n '%s%s' é ambígua; possÃ­veis alternativas:,"%s: a opção ""%s%s"" é ambígua; possibilidades:","RU,ID",LLAMA,28.977907494497117
"%s: unrecognized option '%s%s'
","%s: opção '%s%s' não reconhecida
","%s: opção desconhecida ""%s%s""
","RU,ID",LLAMA,33.932513407933634
"%s: option '%s%s' doesn't allow an argument
","%s: a opciÃ³n '%s%s' não permite argumento
","%s: a opção ""%s%s"" não permite um argumento
","RU,ID",LLAMA,27.43937845663834
"%s: option '%s%s' requires an argument
","%s: a opciÃ³n '%s%s' requer um argumento
","%s: a opção ""%s%s"" exige um argumento
","RU,ID",LLAMA,28.863046226018728
"%s: invalid option -- '%c'
",%s: opção inválida -- '%c',"%s: opção inválida -- ""%c""
","RU,ID",LLAMA,18.04438612975343
"%s: option requires an argument -- '%c'
",%s: a opciÃ³n requer um argumento -- '%c',"%s: a opção exige um argumento -- ""%c""
","RU,ID",LLAMA,29.167552921712726
`,`,“,"RU,ID",LLAMA,0.0
',',”,"RU,ID",LLAMA,0.0
Success,Conseguido,Sucesso,"RU,ID",LLAMA,0.0
No match,Sem coincidência,Nenhuma ocorrência do padrão,"RU,ID",LLAMA,0.0
Invalid regular expression,ExpresiÃ£o regular inválida,Expressão regular inválida,"RU,ID",LLAMA,55.03212081491043
Invalid collation character,Caráter de colaciÃ³n inválido,Caractere de combinação inválido,"RU,ID",LLAMA,18.99589214128981
Invalid character class name,Nome de classe inválido,Nome inválido de categoria de caracteres,"RU,ID",LLAMA,12.750736437345598
Trailing backslash,Barra invertida no final,Barra invertida no final,"RU,ID",LLAMA,100.00000000000004
Invalid back reference,Referência inválida para atrás de referenciada,Retrorreferência inválida,"RU,ID",LLAMA,8.116697886877475
"Unmatched [, [^, [:, [., or [=","Desemparelhado [, [^, [:, [., ou [=","[, [^, [:, [. ou [= sem correspondente","RU,ID",LLAMA,72.41577342575832
Unmatched ( or \(,"Não há correspondência (ou \"")",( ou \( sem correspondente,"RU,ID",LLAMA,20.556680845025987
Unmatched \{,{ desemparelhado,\{ sem correspondente,"RU,ID",LLAMA,18.393972058572114
Invalid content of \{\},Contenido invÃ¡lido de \{\},Conteúdo inválido de \{\},"RU,ID",LLAMA,61.47881529512643
