original,translated,reference,context_languages,strategy,bleu
(dir),categorizado,(dir),,LLAMA,0.0
(parent dir),Categoria do católico (ródon caat.),(dir acima),,LLAMA,6.567274736060395
(huge),maior,gigante,,LLAMA,0.0
Search Wrapped,"O <span style=""color:#008000;"">pesquisa continuou desde o início</span>.",Pesquisa recomeçou,,LLAMA,0.0
This is the only occurrence,Este é o único padrão de correspondência encontrado.,Esta é a única ocorrência,,LLAMA,4.767707020457095
Search,pesquisa,Pesquisa,,LLAMA,0.0
 [Backwards],Voltar, [Retroceder],,LLAMA,0.0
Cancelled,Cancelado,Cancelado,,LLAMA,100.00000000000004
No current search pattern,Não há necessidade de procurar.,Nenhum padrão de pesquisa atualmente,,LLAMA,8.116697886877475
Cannot open directory: %s,Não foi possível abrir o diretório: %s,Não foi possível abrir o diretório: %s,,LLAMA,100.00000000000004
Go To Directory,Para este diretório,Ir para o diretório,,LLAMA,19.716118825581447
Can't go outside of %s,não é possível sair do %s,Não é possível sair de %s,,LLAMA,30.739407647563215
Can't move up a directory,Não é possível mover o diretório,Não é possível subir um diretório,,LLAMA,32.46679154750991
Error reading %s: %s,falha na leitura do arquivo %s: %s,Erro ao ler %s: %s,,LLAMA,39.281465090051306
The working directory has disappeared,O catálogo de trabalho desapareceu.,O diretório de trabalho desapareceu,,LLAMA,32.46679154750991
Unknown syntax name: %s,Nome desconhecido do sintaxe: %s,Nome de sintaxe desconhecido: %s,,LLAMA,29.071536848410968
magic_load() failed: %s,Erro ao carregar o arquivo magic_load(): %s,magic_load() falhou: %s,,LLAMA,38.67706276352344
magic_file(%s) failed: %s,falha no arquivo de magic %s: %s,magic_file(%s) falhou: %s,,LLAMA,18.60045401920258
Nothing was cut,Nenhum elemento foi cortado.,Nada foi cortado,,LLAMA,21.3643503198117
Copied nothing,Nenhum arquivo foi copiado,Nada foi copiado,,LLAMA,31.947155212313625
Cutbuffer is empty,O buffer de troca está vazio,buffer-de-transferência está vazio,,LLAMA,16.233395773754953
Error deleting lock file %s: %s,Erro ao remover o arquivo de bloqueio %s: %s,Erro ao excluir o arquivo de trava %s: %s,,LLAMA,46.59538415189962
Couldn't determine my identity for lock file,não foi possível determinar o arquivo de bloqueio pessoal,Falha ao determinar minha ID para arquivo de trava,,LLAMA,10.552670315936318
Couldn't determine hostname: %s,Não foi possível determinar o nome do nó: %s,Falha ao determinar nome de máquina: %s,,LLAMA,15.851165692617148
Error writing lock file %s: %s,Erro de escrita no arquivo bloqueado %s: %s,Erro ao escrever o arquivo de trava %s: %s,,LLAMA,36.029870008455966
Someone else is also editing this file,Alguém ainda está editando este arquivo.,Outra pessoa também está editando esse arquivo,,LLAMA,14.535768424205482
Error opening lock file %s: %s,Erro ao abrir arquivo bloqueado %s: %s,Erro ao abrir o arquivo de trava %s: %s,,LLAMA,44.30006936196753
Bad lock file is ignored: %s,Arquivo de bloqueio inválido: %s,Arquivo de trava inválido é ignorado: %s,,LLAMA,24.177237023718654
"File %s is being edited by %s (with %s, PID %s); open anyway?","Arquivo '%s' está atualmente sendo editado pelo usuário '%s' (com %s, PID %d); ainda assim, abrir?","Arquivo %s sendo editado (por %s com %s, PID %s). Abrir mesmo assim?",,LLAMA,21.651956746181053
Directory '%s' does not exist,"O catálogo ""%s"" não existe.","O diretório ""%s"" não existe",,LLAMA,61.04735835807847
Path '%s': %s,"Caminho ""%s"": %s","Caminho ""%s"": %s",,LLAMA,100.00000000000004
Path '%s' is not a directory,"O caminho ""%s"" não é um diretório","O caminho ""%s"" não é um diretório",,LLAMA,100.00000000000004
Path '%s' is not accessible,"O caminho ""%s"" não está disponível.","O caminho ""%s"" não é acessível",,LLAMA,63.894310424627285
Directory '%s' is not writable,"Catalogo ""%s"" não está disponível para gravação.","O diretório ""%s"" não é gravável",,LLAMA,35.08439695638686
Can't read file from outside of %s,não foi possível obter estado (stat) do arquivo %s,Não foi possível ler arquivo de fora de %s,,LLAMA,10.127993013562818
"""%s"" is a directory","Arquivo ""%s"" é um diretório","""%s"" é um diretório",,LLAMA,84.08964152537145
"""%s"" is a device file","Arquivo ""%s"" é um arquivo de dispositivo.","""%s"" é um arquivo dispositivo",,LLAMA,59.00468726392806
"""%s"" is a FIFO","Arquivo ""%s"" é FIFO","""%s"" é um FIFO",,LLAMA,64.34588841607616
%s is meant to be read-only,%s considerado como acessível apenas para leitura.,%s tem a intenção de ser somente leitura,,LLAMA,10.552670315936318
New Buffer,Novo buffer,Novo buffer,,LLAMA,100.00000000000004
DOS,DO S,DOS,,LLAMA,0.0
Mac,Mac,Mac,,LLAMA,100.00000000000004
No more open file buffers,Não há mais buffers de arquivos abertos.,Não há mais nenhum buffer de arquivos abertos,,LLAMA,34.57207846419412
Interrupted,Interrompido,Interrompido,,LLAMA,100.00000000000004
File '%s' is unwritable,"Arquivo ""%s"" não está disponível para escrita.","O arquivo ""%s"" não é gravável",,LLAMA,35.08439695638686
New File,Novo arquivo,Novo arquivo,,LLAMA,100.00000000000004
"File ""%s"" not found","Arquivo ""%s"" não encontrado","Arquivo ""%s"" não encontrado",,LLAMA,100.00000000000004
Reading from FIFO...,Leitura de um FIFO...,Lendo de FIFO...,,LLAMA,43.47208719449914
Reading...,Leitura...,Lendo...,,LLAMA,59.460355750136046
Could not create pipe: %s,"Não foi possível criar o pipeline de entrada/saída padrão para a linha %s. Para obter mais informações, tente `%s --help'.",Não foi possível criar o pipe: %s,,LLAMA,14.37791910008819
Could not fork: %s,Não foi possível criar um processo filho: %s,Não foi possível bifurcar: %s,,LLAMA,26.269098944241577
Executing...,Executa-se...,Executando...,,LLAMA,59.460355750136046
filtering,filtragem,filtragem,,LLAMA,100.00000000000004
Failed to open pipe: %s,Não foi possível abrir o fluxo de dados: %s,Falha ao abrir o pipe: %s,,LLAMA,17.542198478193427
Error: %s,falha na leitura do arquivo %s: %s,Erro: %s,,LLAMA,15.619699684601283
Command to execute in new buffer,Comando para execução no novo buffer,Comando para execução no novo buffer,,LLAMA,100.00000000000004
Command to execute,Comando para execução,Comando para execução,,LLAMA,100.00000000000004
