original,translated,reference,context_languages,strategy,bleu
OpenCV failed to load template image,Fallou OpenCV ao carregar a imagem de plantela,O OpenCV falhou ao carregar a imagem modelo,ES,LLAMA,36.55552228545123
Could not read title information for DVD.,não foi possível ler a informação do título para o DVD.,Não foi possível ler as informações de título do DVD.,ES,LLAMA,17.242221289766636
Failed to open DVD device '%s'.,"Não foi possível abrir o dispositivo DVD ""%s"".","Falha ao abrir o dispositivo de DVD ""%s"".",ES,LLAMA,53.107253497886994
Failed to set PGC based seeking.,não foi possível configurar a pesquisa baseada em PGC.,Falha ao definir busca baseada em PGC.,ES,LLAMA,26.269098944241588
Could not read DVD. This may be because the DVD is encrypted and a DVD decryption library is not installed.,Não foi possível ler o DVD. Isso pode ser devido ao fato de que o DVD está criptografado e a biblioteca necessária para descriptografá-lo não está instalada.,Não foi possível ler o DVD. O motivo pode ser que o DVD está criptografado ou uma biblioteca de descriptografia não está instalada.,ES,LLAMA,43.06165652033611
Could not read DVD.,não foi possível ler o DVD.,Não foi possível ler o DVD.,ES,LLAMA,80.91067115702207
This file contains no playable streams.,Este arquivo contém fluxos não reproduzíveis.,Este arquivo não contém fluxos reproduzíveis.,ES,LLAMA,23.643540225079395
Could not open sndfile stream for reading.,não foi possível abrir e ler o fluxo sndfile.,Não foi possível abrir o fluxo sndfile para leitura.,ES,LLAMA,27.301208627090666
Generated file has a larger preroll time than its streams duration,A seção de preenchimento do arquivo gerado ultrapassa o seu próprio comprimento de fluxo.,O arquivo gerado tem um tempo de preparação maior que a sua duração de fluxo,ES,LLAMA,7.8594386815106
Missing element '%s' - check your GStreamer installation.,Falta o componente '%s' - verifique sua instalação do GStreamer.,"O elemento ""%s"" está faltando, verifique a sua instalação do GStreamer.",ES,LLAMA,24.973315050397872
"File location is set to NULL, please set it to a valid filename","A localização do arquivo foi definida como NULL, por favor defina um nome de arquivo válido.","A localização do arquivo está NULA, favor definir um nome de arquivo válido",ES,LLAMA,35.412968165085715
Digitalzoom element couldn't be created,não foi possível criar o componente Digitalzoom,O elemento Digitalzoom não pôde ser criado,ES,LLAMA,7.809849842300637
Subpicture format was not configured before data flow,O formato de subimagem não foi configurado antes do fluxo de dados.,O formato de sub-imagem não foi configurado antes do fluxo de dados,ES,LLAMA,67.03420896351791
Failed to get fragment URL.,não foi possível obter o URL do fragmento.,Falha ao obter um fragmento de URL.,ES,LLAMA,6.742555929751843
Couldn't download fragments,não foi possível baixar o fragmento.,Não foi possível baixar os fragmentos,ES,LLAMA,24.446151121745054
Internal data stream error.,Erro interno de fluxo de dados.,Erro interno de fluxo de dados.,ES,LLAMA,100.00000000000004
"Device ""%s"" does not exist.","Não existe o dispositivo ""%s"".","O dispositivo ""%s"" não existe.",ES,LLAMA,48.54917717073236
"Could not open frontend device ""%s"".",Não foi possível abrir o dispositivo frontend «%s».,"Não foi possível abrir o dispositivo de interface ""%s"".",ES,LLAMA,41.36817680097793
"Could not get settings from frontend device ""%s"".",Não foi possível obter os ajustes do dispositivo frontend «%s».,"Não foi possível obter as configurações do dispositivo de interface ""%s"".",ES,LLAMA,21.18854509032766
"Cannot enumerate delivery systems from frontend device ""%s"".","Não foi possível enumerar os sistemas de entrega disponíveis no dispositivo frontend ""%s"".","Não foi possível listar os sistemas de entrega do dispositivo de interface ""%s"".",ES,LLAMA,43.819512537676886
"Could not open file ""%s"" for reading.",não foi possível abrir o arquivo %s para leitura.,"Não foi possível abrir o arquivo ""%s"" para leitura.",ES,LLAMA,42.99352740507477
Couldn't find channel configuration file,não foi possível encontrar o arquivo de configuração do canal,Não foi possível encontrar o arquivo de configuração de canal,ES,LLAMA,66.06328636027612
Couldn't load channel configuration file: '%s',não foi possível carregar o arquivo de configuração do canal: '%s'.,"Não foi possível carregar o arquivo de configuração de canal: ""%s""",ES,LLAMA,45.466972369917116
Couldn't find details for channel '%s',não foi possível obter detalhes para o canal '%s',"Não foi possível encontrar detalhes para o canal ""%s""",ES,LLAMA,26.477952261405967
No properties for channel '%s',o canal '%s' não possui propriedades,"Não há propriedades para o canal ""%s""",ES,LLAMA,10.229197414177778
Failed to set properties for channel '%s',"não foi possível definir as propriedades para o canal ""%s"".","Falha ao definir propriedades para o canal ""%s""",ES,LLAMA,52.960749334062214
Couldn't find channel configuration file: '%s',não foi possível encontrar o arquivo de configuração do canal: '%s',"Não foi possível encontrar o arquivo de configuração de canal: ""%s""",ES,LLAMA,45.74563333993254
Channel configuration file doesn't contain any channels,No arquivo de configuração do canal contém nenhum canal,Nenhum canal foi encontrado no arquivo de configuração de canal,ES,LLAMA,18.04438612975343
