original,translated,reference,context_languages,strategy,bleu
Usage: iconv [-c] [-s] [-f fromcode] [-t tocode] [file ...],Modo de uso: iconv [-c] [-s] [-f desde] [-t até] [arquivo ...],Uso: iconv [-c] [-s] [-f fromcode] [-t tocode] [arquivo ...],ES,LLAMA,64.44280974574026
or:    iconv -l,"ou:
iconv -l",ou:  iconv -l,ES,LLAMA,100.00000000000004
"Try '%s --help' for more information.
",Tente `%s --help' para mais informações.,"Tente ""%s --help"" para mais informações.
",ES,LLAMA,33.010083098515025
"Usage: %s [OPTION...] [-f ENCODING] [-t ENCODING] [INPUTFILE...]
",Modo de uso: %s [Opção...] [-f ENCODING] [-t ENCODING] [FicheiroEntrada...],"Uso: %s [OPÇÃO...] [-f CODIFICAÇÃO] [-t CODIFICAÇÃO] [ENTRADA...]
",ES,LLAMA,42.73762942511532
"or:    %s -l
","ou seja: %s -l
","ou:    %s -l
",ES,LLAMA,53.7284965911771
"Converts text from one encoding to another encoding.
",Converta o texto de uma codificação para outra.,"Converte texto de uma codificação para outra.
",ES,LLAMA,72.59795291154772
"Options controlling the input and output format:
","Opciones para controlar el formato de entrada y salida:
	--espacio (%s): %d espaços por linha.
	--tabulação (%s): tabulador em vez do caractere padrão.","Opções para controlar os formatos de entrada e saída:
",ES,LLAMA,3.158092042483703
"  -f ENCODING, --from-code=ENCODING
                              the encoding of the input
","  -f ENCODING, --from-code=ENCODING
                               Codificação de entrada","  -f CODIFICAÇÃO, --from-code=CODIFICAÇÃO
                              a codificação de entrada
",ES,LLAMA,20.90067144241745
"  -t ENCODING, --to-code=ENCODING
                              the encoding of the output
","  -t ENCODING, --to-code=ENCODING
                               Codificação de saída","  -t CODIFICAÇÃO, --to-code=CODIFICAÇÃO
                              a codificação da saída
",ES,LLAMA,18.04438612975343
"Options controlling conversion problems:
","Opciones para controlar los problemas de conversión:
	--especializadas %s (conversor especializado)
	--verbose %d (verboso, detalhado)
","Opções para controlar problemas de conversão:
",ES,LLAMA,4.92467473444436
"  -c                          discard unconvertible characters
", -c                          descarta caracteres não convertíveis,"  -c                          descarta caracteres não conversíveis
",ES,LLAMA,66.87403049764218
"  --unicode-subst=FORMATSTRING
                              substitution for unconvertible Unicode characters
","--unicode-subst=CADENADEFORMATO
                              substituição para os caracteres Unicode não convertíveis","  --unicode-subst=TEXTOFORMATO
                              substituição de caracteres Unicode no conversíveis
",ES,LLAMA,12.549310621989482
"  --byte-subst=FORMATSTRING   substitution for unconvertible bytes
","--byte-subst=CADENADEFORMATO sustituição para os bytes não convertíveis
","  --byte-subst=TEXTOFORMATO   substituição para bytes não conversíveis
",ES,LLAMA,14.25876976452075
"  --widechar-subst=FORMATSTRING
                              substitution for unconvertible wide characters
","--widechar-subst=CADENADEFORMATO
                              substituição para caracteres anchos não convertíveis","  --widechar-subst=TEXTOFORMATO
                              substituição para caracteres amplos não conversíveis
",ES,LLAMA,23.356898886410015
"Options controlling error output:
","Opciones para controlar la salida de errores:
	--verbose (mostrar detalles)
	--logto FILENAME (guardar logs en el archivo especificado)
	--quiet (reducir verbosidad, mostrar solo mensajes críticos)
","Opções para controlar saída de erro:
",ES,LLAMA,2.6711961764401657
"  -s, --silent                suppress error messages about conversion problems
"," -s, --silent                 não exibir mensagens relacionadas a erros de conversão","  -s, --silent                suprime mensagens de erro sobre problemas de conversão
",ES,LLAMA,18.36028134946796
"Informative output:
",Salida informativa:,"Saída informativa:
",ES,LLAMA,55.03212081491043
"  -l, --list                  list the supported encodings
","  -l, --list                   lista das codificações admitidas","  -l, --list                  lista das codificações com suporte
",ES,LLAMA,70.1396726799769
"  --help                      display this help and exit
"," --help                       mostra esta ajuda e sai
","  --help                      exibe esta ajuda e sai
",ES,LLAMA,53.7284965911771
"  --version                   output version information and exit
","--versao                    Mostra a versão e sai
","  --version                   exibe informação da versão e sai
",ES,LLAMA,25.57539057896621
