original,translated,reference,context_languages,strategy,comet,chrf,bleu,ter,bertscore
Could not read from CD.,Tá aí para ler do CD.,Não foi possível ler as informações do CD.,"DE,ES",LLAMA,54.65503931045532,20.437494369403034,19.740631366145518,62.5,79.86117005348206
Could not open CD device for reading.,"Tenha por favor, abra o drive de CD para leitura.",Não foi possível abrir o dispositivo de CD para leitura.,"DE,ES",LLAMA,58.03532600402832,41.46095609633275,33.18077402843942,50.0,83.27169418334961
Disc is not an Audio CD.,O CD não é um disco de áudio.,O disco não é um CD de áudio.,"DE,ES",LLAMA,94.87857222557068,63.875282569168014,33.03164318013809,25.0,96.37570977210999
Could not open DVD,Tá aí para abrir o DVD.,Não foi possível abrir o DVD,"DE,ES",LLAMA,63.17126154899597,36.82595470558387,24.446151121745054,66.66666666666666,79.35941219329834
Could not open DVD title %d,Tá aí para abrir o título %d do DVD.,Não foi possível abrir o título %d do DVD,"DE,ES",LLAMA,60.22648215293884,59.49143909348471,57.067457770559976,44.44444444444444,84.74809527397156
Failed to go to chapter %d of DVD title %d,falhou ao ir para o capítulo %d do título DVD %d,Falha ao avançar para o capítulo %d do título %d do DVD,"DE,ES",LLAMA,80.81466555595398,63.29980497637838,50.68081515398926,33.33333333333333,85.34727692604065
Could not open DVD title %d. Interactive titles are not supported by this element,Tenha por favor aberta o título do DVD %d. Os títulos interativos não são suportados neste elemento.,Não foi possível abrir o título %d do DVD. Não há suporte a títulos interativos por este elemento,"DE,ES",LLAMA,74.3328332901001,46.49685433806766,8.29305253557858,77.77777777777779,84.22340154647827
Could not read DVD. This may be because the DVD is encrypted and a DVD decryption library is not installed.,Tá com o DVD para ler? Isso porque o DVD tem criptografia e a biblioteca de descriptografação do DVD não está instalada.,Não foi possível ler o DVD. O motivo pode ser que o DVD está criptografado e uma biblioteca de descriptografia de DVD não está instalada.,"DE,ES",LLAMA,71.95369601249695,54.0177457384892,18.983054173310986,60.0,87.1038019657135
Could not read DVD.,Tá aí para ler o DVD.,Não foi possível ler o DVD.,"DE,ES",LLAMA,64.25430178642273,36.82960398030477,41.11336169005198,50.0,82.5227439403534
This stream contains no data.,Este fluxo não contém dados.,Este fluxo não contém dados.,"DE,ES",LLAMA,98.55131506919861,100.0,100.00000000000004,0.0,99.99998807907104
