original,translated,reference,context_languages,strategy,comet,chrf,bleu,ter,bertscore
Could not read from CD.,Tá aí para ler do CD.,Não foi possível ler as informações do CD.,VI,LLAMA,54.65503931045532,20.437494369403034,19.740631366145518,62.5,79.86117005348206
Could not open CD device for reading.,Tá a possibilidade de abrir o dispositivo CD para leitura?,Não foi possível abrir o dispositivo de CD para leitura.,VI,LLAMA,88.6442482471466,58.843389374784984,24.384183193426086,50.0,85.17259359359741
Disc is not an Audio CD.,Cakram não é um CD de áudio.,O disco não é um CD de áudio.,VI,LLAMA,87.465900182724,71.33748987942054,74.20884818558928,25.0,91.25087261199951
Could not open DVD,Tá aí para abrir o DVD,Não foi possível abrir o DVD,VI,LLAMA,61.639171838760376,37.39137358377783,30.213753973567677,50.0,79.99439239501953
Could not open DVD title %d,Tá aí para abrir o título do DVD %d.,Não foi possível abrir o título %d do DVD,VI,LLAMA,56.333523988723755,42.524667171811906,20.504572236241867,55.55555555555556,80.87310791015625
Failed to go to chapter %d of DVD title %d,falha ao tentar navegar até o capítulo %d do DVD com título %d,Falha ao avançar para o capítulo %d do título %d do DVD,VI,LLAMA,83.07985067367554,58.85413971828816,42.311785416105785,41.66666666666667,84.54238176345825
Could not open DVD title %d. Interactive titles are not supported by this element,Tá com certeza para abrir o título do DVD %d. O campo interativo não é suportado por este elemento.,Não foi possível abrir o título %d do DVD. Não há suporte a títulos interativos por este elemento,VI,LLAMA,66.40927195549011,46.05878966806552,13.924499401499876,77.77777777777779,83.53704810142517
Could not read DVD. This may be because the DVD is encrypted and a DVD decryption library is not installed.,Tá com o DVD para ser lido. Isso acontece porque o DVD está criptografado e a ferramenta de descriptografia do DVD não foi instalada.,Não foi possível ler o DVD. O motivo pode ser que o DVD está criptografado e uma biblioteca de descriptografia de DVD não está instalada.,VI,LLAMA,72.3962128162384,52.90525931475023,20.69777027988121,60.0,89.52434659004211
Could not read DVD.,Tá aí para ler o DVD.,Não foi possível ler o DVD.,VI,LLAMA,64.25430178642273,36.82960398030477,41.11336169005198,50.0,82.5227439403534
This stream contains no data.,Arus ini tidak berisi data.,Este fluxo não contém dados.,VI,LLAMA,83.00719857215881,8.409339047766172,8.116697886877475,100.0,86.79263591766357
